active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.880859375,286.5100347282796,128,1,[0],False,0.0625,3.1622776601683795,0.0625,initial,0,3.1622776601683795,0,-1,generated:hybrid_reduce_audit
False,False,1,0.125,False,False,0.875,284.2674796736341,128,1,[1],False,0.078125,4.0,0.078125,initial,0,4.0,0,-1,generated:hybrid_reduce_audit
False,False,2,0.125,False,False,0.875,284.49253065766067,128,1,[2],False,0.0625,3.7416573867739413,0.0625,initial,0,3.7416573867739413,0,-1,generated:hybrid_reduce_audit
False,False,3,0.125,False,False,0.875,284.2111890830479,128,1,[3],False,0.078125,3.7416573867739413,0.078125,initial,0,3.7416573867739413,0,-1,generated:hybrid_reduce_audit
False,False,4,0.125,False,False,0.875,284.78412877125015,128,1,[4],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,generated:hybrid_reduce_audit
False,False,5,0.125,False,False,0.875,284.3659613948195,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:hybrid_reduce_audit
False,False,6,0.125,False,False,0.875,284.61201661208895,128,1,[6],False,0.0625,3.4641016151377544,0.0625,initial,0,3.4641016151377544,0,-1,generated:hybrid_reduce_audit
False,False,7,0.125,False,False,0.875,284.30617298961346,128,1,[7],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:hybrid_reduce_audit
False,True,0,0.125,False,False,0.880859375,286.5100347282796,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,1,0,generated:hybrid_reduce_audit
True,False,1,0.25,False,False,0.755859375,245.85361498257453,256,2,"[0, 1]",False,0.0390625,4.69041575982343,0.0390625,after_step,1,4.69041575982343,0,0,generated:hybrid_reduce_audit
False,True,2,0.125,False,False,0.875,284.49253065766067,128,1,[2],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,1,0,generated:hybrid_reduce_audit
True,False,3,0.25,False,False,0.75,243.90981940053172,256,2,"[2, 3]",False,0.0625,6.6332495807108,0.0625,after_step,1,6.6332495807108,0,0,generated:hybrid_reduce_audit
False,True,4,0.125,False,False,0.875,284.78412877125015,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,1,0,generated:hybrid_reduce_audit
True,False,5,0.25,False,False,0.75,244.32764886520724,256,2,"[4, 5]",False,0.0390625,3.7416573867739413,0.0390625,after_step,1,3.7416573867739413,0,0,generated:hybrid_reduce_audit
False,True,6,0.125,False,False,0.875,284.61201661208895,128,1,[6],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,1,0,generated:hybrid_reduce_audit
True,False,7,0.25,False,False,0.75,244.0368824583694,256,2,"[6, 7]",False,0.0546875,5.477225575051661,0.0546875,after_step,1,5.477225575051661,0,0,generated:hybrid_reduce_audit
False,False,0,0.125,False,False,0.880859375,286.5100347282796,128,1,[0],False,0.0625,3.1622776601683795,0.0625,after_step,0,3.1622776601683795,0,1,generated:hybrid_reduce_audit
False,True,1,0.25,False,False,0.755859375,245.85361498257453,256,2,"[0, 1]",False,0.0390625,4.69041575982343,0.0390625,after_step,0,4.69041575982343,1,1,generated:hybrid_reduce_audit
False,False,2,0.125,False,False,0.875,284.49253065766067,128,1,[2],False,0.0625,3.7416573867739413,0.0625,after_step,0,3.7416573867739413,0,1,generated:hybrid_reduce_audit
True,False,3,0.5,False,False,0.505859375,164.75436261295178,512,4,"[0, 1, 2, 3]",False,0.04296875,8.366600265340756,0.04296875,after_step,1,8.366600265340756,0,1,generated:hybrid_reduce_audit
False,False,4,0.125,False,False,0.875,284.78412877125015,128,1,[4],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,1,generated:hybrid_reduce_audit
False,True,5,0.25,False,False,0.75,244.32764886520724,256,2,"[4, 5]",False,0.0390625,3.7416573867739413,0.0390625,after_step,0,3.7416573867739413,1,1,generated:hybrid_reduce_audit
False,False,6,0.125,False,False,0.875,284.61201661208895,128,1,[6],False,0.0625,3.4641016151377544,0.0625,after_step,0,3.4641016151377544,0,1,generated:hybrid_reduce_audit
