active_receiver,active_sender,agent_id,coverage_ratio,exact_match,global_exact_match,global_normalized_l1_error,global_rmse,known_item_count,known_source_count,known_sources,local_exact_match,local_normalized_l1_error,local_rmse,normalized_l1_error,phase,received_count,rmse,sent_count,step_idx,topology
False,False,0,0.125,False,False,0.875,284.92806109613,128,1,[0],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:pairwise_then_star
False,False,1,0.125,False,False,0.875,284.741988473776,128,1,[1],False,0.046875,2.8284271247461903,0.046875,initial,0,2.8284271247461903,0,-1,generated:pairwise_then_star
False,False,2,0.125,False,False,0.875,284.5768788921546,128,1,[2],False,0.046875,3.1622776601683795,0.046875,initial,0,3.1622776601683795,0,-1,generated:pairwise_then_star
False,False,3,0.125,False,False,0.875,284.47143969122806,128,1,[3],False,0.0625,4.69041575982343,0.0625,initial,0,4.69041575982343,0,-1,generated:pairwise_then_star
False,False,4,0.125,False,False,0.875,284.8754113643366,128,1,[4],False,0.046875,2.449489742783178,0.046875,initial,0,2.449489742783178,0,-1,generated:pairwise_then_star
False,False,5,0.125,False,False,0.875,285.19467035693356,128,1,[5],False,0.03125,2.0,0.03125,initial,0,2.0,0,-1,generated:pairwise_then_star
False,False,6,0.125,False,False,0.875,285.0228061050554,128,1,[6],False,0.09375,6.48074069840786,0.09375,initial,0,6.48074069840786,0,-1,generated:pairwise_then_star
False,False,7,0.125,False,False,0.875,284.991227935177,128,1,[7],False,0.0625,2.8284271247461903,0.0625,initial,0,2.8284271247461903,0,-1,generated:pairwise_then_star
False,True,0,0.125,False,False,0.875,284.92806109613,128,1,[0],False,0.03125,2.0,0.03125,after_step,0,2.0,1,0,generated:pairwise_then_star
True,False,1,0.25,False,False,0.75,244.5690086662658,256,2,"[0, 1]",False,0.0234375,2.8284271247461903,0.0234375,after_step,1,2.8284271247461903,0,0,generated:pairwise_then_star
False,True,2,0.125,False,False,0.875,284.5768788921546,128,1,[2],False,0.046875,3.1622776601683795,0.046875,after_step,0,3.1622776601683795,1,0,generated:pairwise_then_star
True,False,3,0.25,False,False,0.75,243.71704905484145,256,2,"[2, 3]",False,0.0234375,2.8284271247461903,0.0234375,after_step,1,2.8284271247461903,0,0,generated:pairwise_then_star
False,True,4,0.125,False,False,0.875,284.8754113643366,128,1,[4],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,1,0,generated:pairwise_then_star
True,False,5,0.25,False,False,0.75,244.87956223417257,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,1,3.1622776601683795,0,0,generated:pairwise_then_star
False,True,6,0.125,False,False,0.875,285.0228061050554,128,1,[6],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,1,0,generated:pairwise_then_star
True,False,7,0.25,False,False,0.75,244.57718618055938,256,2,"[6, 7]",False,0.0625,8.0,0.0625,after_step,1,8.0,0,0,generated:pairwise_then_star
False,False,0,0.125,False,False,0.875,284.92806109613,128,1,[0],False,0.03125,2.0,0.03125,after_step,0,2.0,0,1,generated:pairwise_then_star
False,True,1,0.25,False,False,0.75,244.5690086662658,256,2,"[0, 1]",False,0.0234375,2.8284271247461903,0.0234375,after_step,0,2.8284271247461903,1,1,generated:pairwise_then_star
False,False,2,0.125,False,False,0.875,284.5768788921546,128,1,[2],False,0.046875,3.1622776601683795,0.046875,after_step,0,3.1622776601683795,0,1,generated:pairwise_then_star
False,True,3,0.25,False,False,0.75,243.71704905484145,256,2,"[2, 3]",False,0.0234375,2.8284271247461903,0.0234375,after_step,0,2.8284271247461903,1,1,generated:pairwise_then_star
False,False,4,0.125,False,False,0.875,284.8754113643366,128,1,[4],False,0.046875,2.449489742783178,0.046875,after_step,0,2.449489742783178,0,1,generated:pairwise_then_star
False,True,5,0.25,False,False,0.75,244.87956223417257,256,2,"[4, 5]",False,0.03125,3.1622776601683795,0.03125,after_step,0,3.1622776601683795,1,1,generated:pairwise_then_star
False,False,6,0.125,False,False,0.875,285.0228061050554,128,1,[6],False,0.09375,6.48074069840786,0.09375,after_step,0,6.48074069840786,0,1,generated:pairwise_then_star
True,False,7,1.0,False,False,0.01953125,10.198039027185569,1024,8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,0.01953125,10.198039027185569,0.01953125,after_step,3,10.198039027185569,0,1,generated:pairwise_then_star
